OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,DN,DIST,YARD LN,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,GAP,ROUTE CONCEPT,ROUTE 2,RESULT,BC,PASS ZONE,COVERAGE,DEF FRONT,PROTECTION (D),GN/LS,SERIES END,PENALTY
MISERICORDIA,D,5,1,1,L,2,7,32,GREEN ZONE,,21,YOP,PRO OFF UND,R,,KING,31,Run,,F TRAP,,R,,A,,,,R,,4,,,1,,
MISERICORDIA,D,6,1,1,L,3,6,31,GREEN ZONE,,11,,WOLF,L,,WEAK,22,Pass,,SOP,,R,,,SMASH,,Complete,J,,LOCK,,,25,,
MISERICORDIA,D,8,1,1,R,1,11,11,RED ZONE,,21,,SLOT,R,,QUEEN,31,Run,,POWER SHOVEL,,L,,,,,Incomplete,R,,4 INVERT,,,0,,
MISERICORDIA,D,9,1,1,R,2,11,11,RED ZONE,,21,,SLOT CUT,R,,QUEEN,31,Pass,,SOP,,L,,,BENCH,,Scramble,Q,,4 INVERT,,,4,,
MISERICORDIA,D,10,1,1,L,3,9,9,RED ZONE,,11,J MESH,WOLF SIB,R,,STR,22,Run,,COUNTER TREY,,L,,B,,,,R,,4,,,2,MISSED FG,
MISERICORDIA,D,12,1,2,M,1,15,-15,BACKED UP,,21,Y TRADE,SLOT UND,L,,QUEEN,31,Pass,,SOP,,R,,,CURL,,Incomplete,Z,,4 INVERT,,,0,,
MISERICORDIA,D,13,1,2,M,2,15,-15,BACKED UP,,11,J MESH,WOLF,L,,STR,23,Run,,Q POWER RD,,L,,A,,,,R,,3,,,0,,
MISERICORDIA,D,14,1,2,L,3,15,-15,BACKED UP,,11,,WOLF STACK SIB,R,,STR,22,Run,,Q SPRINT DRAW,,R,,B,,,,Q,,6,,,6,PUNT,
MISERICORDIA,D,15,1,3,R,0,10,-15,BACKED UP,,21,Y TRADE FLOP,SLOT UND,R,,QUEEN,31,Run,,OZ,,L,,E-Alley,,,,R,,4 INVERT,,,5,,
MISERICORDIA,D,17,2,3,L,2,10,-15,BACKED UP,,11,,TOM,R,,STR,41,Pass,,SOP,,R,,,RUB,,Complete,Y,,6 INVERT,,,7,,
MISERICORDIA,D,18,2,3,R,3,2,-23,UPFIELD,,21,FLOP,SLOT UND,R,,KING,22,Pass,,POWER PASS,,R,,,CROSS,BENCH,Incomplete,Y,,HOCKEY,,,0,PUNT,
MISERICORDIA,D,19,2,4,L,0,10,-43,UPFIELD,,12,,ACE,L,,STR,23,Run,,PUNCH,READ,L,,C,,,,Q,,6 INVERT,,,3,,
MISERICORDIA,D,20,2,4,L,2,7,-46,UPFIELD,,21,YOP,PRO OFF UND,R,,KING,31,Pass,,SOP,,R,,,STIX,,Incomplete,Z,,4,,,0,,
MISERICORDIA,D,21,2,4,L,3,7,-46,UPFIELD,,11,,TOM,R,,STR,41,Pass,,SOP,,R,,,STIX UP,,Incomplete,J,,2 MAN,,,0,PUNT,
