OPP TEAM,ODK,PLAY #,QTR,SERIES,HASH,T & 10,DN,DIST,YARD LN,GN/LS,SERIES END,FZ,SIT,PERSONNEL,MOTION,OFF FORM,FORM LT/RT,FIB,BACKFIELD,FORM CODE,PLAY TYPE,PLAY TYPE 2,OFF PLAY,RUN TAG,PLAY DIR,SCR TAG,ROUTE CONCEPT,ROUTE 2,RESULT,GAP,BC,PASS ZONE,COVERAGE,PROTECTION (D),DEF FRONT,STUNT,BLITZ,POST SACK,LAUNCH PT,LAUNCH TIME,ESCAPE PTS,2&10,PEN +/-,PENALTY
MISERICORDIA,D,40,1,8,M,,2,2,43,11,,MIDFIELD,,10,,DBLS,RT,,WK,22,Pass,RPO,IZ,,L,,SLANTS,,Complete,,J,5,3,60AB,,,,,5OC,128,,,,
MISERICORDIA,D,41,1,8,M,,1,10,36,12,,GREEN ZONE,,10,,DBLS,RT,,WK,22,Pass,,5 STEP,,L,,SLANT/HITCH,,Complete,,J,5,1,60AF,,,,,6OC,135,,,,
MISERICORDIA,D,42,1,8,M,,1,10,19,19,TD,RED ZONE,,10,,DBLS,RT,,WK,22,Pass,,3 STEP,,R,,VERT,OUT,TD,,X,9,1,60AF,,,,,6OC,128,,,,
MISERICORDIA,D,49,2,10,L,,1,10,-48,4,,MIDFIELD,,11,,WOLF,LT,,STRONG,23,Pass,,5 STEP,,L,,VERTS,,Complete,,T,4,3,50AF,,,,,7OC,228,,,,
MISERICORDIA,D,50,2,10,L,,2,6,48,30,,MIDFIELD,,11,,WOLF,LT,,WK,22,Run,,OZ G,,L,,,,Rush,D,T,,,,,,,,,,,,,
MISERICORDIA,D,51,2,10,L,,1,10,12,3,,RED ZONE,,11,,WOLF,LT,,STRONG,23,Run,,PUNCH,,L,,,,Rush,C,T,,,,,,,,,,,,,
MISERICORDIA,D,52,2,10,L,,2,7,14,-2,,RED ZONE,,12,,UNB TOM TY,RT,,PISTOL,,Run,,TOSS,,R,,,,Rush,E-Alley,T,,,,,,,,,,,,,
MISERICORDIA,D,53,2,10,R,,3,9,16,-5,,RED ZONE,,10,,DBLS,LT,,WK,22,Pass,,3 STEP,,R,,SLANTS,,Complete,,X,6,1,60AF,,,,,6OC,150,,,,O-Block in the Back
MISERICORDIA,D,54,2,10,L,,3,14,21,0,,RED ZONE,,11,,TOM OFF,RT,,STRONG,31,Pass,,SOP,,R,,FLOOD,,Incomplete,,X,9,0,REACH,,,,,8RT,209,,,,
MISERICORDIA,D,55,2,10,L,,4,14,21,0,DOWNS,RED ZONE,,10,S ACROSS,TRIPS,RT,,WK,31,Pass,,5 STEP,,L,,VERTS,,Incomplete,,X,7,1,60AF,,,,,8LG,172,,,,
